latitude,longitude
-39.56569639,176.8724797
-39.56567972,176.872525
-39.565675,176.8725264
-39.56567,176.8725214
-39.56566806,176.8725131
-39.56571139,176.8725397
-39.56559639,176.8727014
-39.56562306,176.87275
-39.565625,176.8727197
-39.57082806,176.8971131
-39.57082806,176.8971131
-39.57052,176.8978397
-39.56820472,176.9024714
-39.56820139,176.902455
-39.56818806,176.902455
-39.56819306,176.9024614
-39.56819306,176.9024631
-39.56809806,176.9022681
-39.56808472,176.9022381
-39.56819806,176.9026181
-39.56823306,176.90264
-39.568215,176.9024714
-39.56813306,176.9025281
-39.56813306,176.9025247
-39.57119972,176.8993531
-39.57144639,176.8991464
-39.57181139,176.8989481
-39.57239472,176.8987331
-39.57324139,176.8981114
-39.57399,176.8973514
-39.57447139,176.896855
-39.59015972,176.8797681
-39.590655,176.8791014
-39.59305472,176.8754897
-39.59347,176.8748681
-39.594035,176.8740281
-39.59431139,176.8736081
-39.59481972,176.8727514
-39.59505639,176.87229
-39.59632806,176.8692031
-39.59671306,176.8643297
-39.59665639,176.8637731
-39.59650972,176.8626347
-39.59234639,176.8480064
-39.59210472,176.8469564
-39.5919,176.846185
-39.591525,176.8448814
-39.59115972,176.8438797
-39.59031639,176.8425747
-39.58704806,176.8401331
-39.584095,176.8411414
-39.58493639,176.8419464
-39.58313306,176.8409131
-39.58171306,176.8390664
-39.581855,176.8390681
-39.58194639,176.8390881
-39.58200639,176.8391214
-39.58210639,176.8392047
-39.58219639,176.8392364
-39.5816,176.8389914
-39.57538,176.8274047
-39.57497639,176.8260964
-39.58254639,176.786455
-39.58264972,176.7865014
-39.58269472,176.7867314
-39.58266472,176.7869614
-39.58254639,176.7873347
-39.58242,176.7880064
-39.58242,176.7880064
-39.58263639,176.7881631
-39.58263639,176.7881631
-39.58275972,176.7879814
-39.58277472,176.78796
-39.58277139,176.7879764
-39.58303306,176.7873731
-39.582955,176.7875047
-39.58297,176.7875481
-39.58297,176.7875464
-39.58296139,176.787595
-39.58296306,176.7875914
-39.58296306,176.7875481
-39.58431472,176.783275
-39.58422806,176.7834947
-39.58423306,176.7837614
-39.58408806,176.7839864
-39.58391972,176.7841514
-39.583545,176.78472
-39.58283806,176.7860331
-39.582895,176.7866197
-39.58311,176.7867481
-39.58342139,176.7856914
-39.58674,176.77121
-39.58674,176.77121
-39.586505,176.7698264
-39.58653306,176.7697897
-39.586535,176.7678031
-39.58641972,176.7679064
-39.58643,176.7684281
-39.586475,176.7689981
-39.58662972,176.7700247
-39.58668,176.7704114
-39.58663139,176.7708681
-39.586475,176.7709947
-39.584335,176.758515
-39.58462639,176.7590114
-39.58462472,176.7595931
-39.58463,176.7598914
-39.584645,176.7603497
-39.58469806,176.7608231
-39.584855,176.7616031
-39.58510806,176.7621214
-39.58539972,176.7621731
-39.58548306,176.761945
-39.5851,176.7600997
-39.584815,176.7593714
-39.58451972,176.7583964
-39.58425472,176.75739
-39.58398639,176.7564397
-39.61688306,176.6864131
-39.61667806,176.6862931
-39.61572472,176.6869114
-39.61558806,176.6873414
-39.61564306,176.6874431
-39.61588,176.6875331
-39.619395,176.6820764
-39.61966639,176.6816514
-39.62016806,176.6807281
-39.62041139,176.6802531
-39.62077639,176.6795414
-39.62138972,176.6783831
-39.62204806,176.6772114
-39.62295639,176.6755597
-39.62360472,176.6744164
-39.62399306,176.67379
-39.62588972,176.6720164
-39.62630639,176.671745
-39.62693806,176.6713497
-39.64047472,176.6616131
-39.64090472,176.6607814
-39.64129472,176.6599214
-39.64163306,176.6590314
-39.641885,176.6581
-39.64342806,176.6360981
-39.64340806,176.6349314
-39.64339139,176.6341597
-39.64337806,176.6333914
-39.64335,176.6322181
-39.64299639,176.6291014
-39.64272,176.627915
-39.64061806,176.6230981
-39.63930639,176.6209847
-39.63665972,176.6176631
-39.55035806,176.4709197
-39.55167639,176.4702764
-39.55343639,176.46879
-39.55388472,176.4679181
-39.55497806,176.4663614
-39.55678306,176.4670581
-39.55788639,176.4682764
-39.57116972,176.4849431
-39.57213806,176.48669
-39.57542972,176.4949364
-39.59857806,176.5568631
-39.59950806,176.558875
-39.60524806,176.570645
-39.60654639,176.57301
-39.60766806,176.5748614
-39.60855139,176.5762147
-39.62960806,176.6172214
-39.63059306,176.6215614
-39.63529306,176.6469914
-39.63550472,176.64897
-39.63563806,176.6502831
-39.63681972,176.6641381
-39.63690972,176.66548
-39.63707972,176.6681597
-39.63719472,176.6701447
-39.63736139,176.6728014
-39.63759806,176.6761447
-39.64396306,176.6704464
-39.64426,176.6693381
